actual_target,predicted_target,発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点
0,0.2725836549188989,1,22,13,25,1,1,14,7,3,9,1
0,0.6560526938596798,1,3,18,27,2,1,1,1,15,9,30
0,0.19839057038366917,1,29,15,20,1,1,14,7,3,9,1
1,0.5564559286369527,1,8,15,15,5,2,7,1,4,9,1
0,0.3717499590676119,1,24,17,35,1,1,14,7,3,9,1
0,0.601869901457428,1,25,7,50,1,1,14,7,3,9,1
0,0.3197094425413072,12,28,15,58,1,1,14,7,5,9,1
0,0.2509913929227692,12,13,20,50,1,1,1,1,14,9,30
0,0.49070895269660625,1,10,18,38,1,1,1,7,15,9,30
1,0.1974704787955406,1,7,8,35,1,2,14,7,3,9,1
0,0.3989493345967159,1,13,17,19,5,2,1,1,18,9,30
1,0.8425918807130472,12,30,16,50,1,1,1,1,12,9,30
1,0.8619491970091511,12,31,10,23,5,4,1,1,11,9,30
1,1.0277282620965478,1,14,10,51,5,4,1,1,18,9,30
0,0.5613034261996,12,29,14,2,2,2,14,7,3,9,1
0,0.6861421415360326,1,15,21,38,1,1,7,7,2,9,1
1,0.6046984446650914,12,20,12,30,1,1,14,7,4,9,1
1,0.5707084158090568,1,12,12,15,5,2,11,7,5,9,1
0,0.04823709437446088,1,5,10,8,1,1,1,8,15,9,30
0,0.45027919433831476,1,4,16,30,1,1,14,7,3,7,20
1,0.7052086296176199,12,31,14,19,1,1,12,7,3,2,1
1,0.5353994304343695,1,31,11,34,1,1,7,1,3,8,1
1,0.4954842487344841,12,9,19,45,1,1,14,2,4,9,1
0,0.45738770109717053,1,22,20,20,2,1,1,1,18,9,30
0,0.3246140808573267,1,17,18,5,1,1,1,7,14,9,30
1,0.4685113871070091,1,11,16,20,1,1,14,7,4,9,20
1,0.820306500038671,12,12,16,1,1,1,7,1,3,9,1
1,-0.03168692407337726,1,4,10,20,1,1,1,7,15,9,30
0,0.2875859695844299,1,29,11,0,1,1,1,7,11,9,30
1,0.16399478507155363,1,27,1,5,1,1,1,7,15,9,30
0,0.23963708871423908,1,18,7,50,1,1,1,7,15,9,30
1,0.879415832885394,12,19,15,41,1,1,14,7,3,9,20
0,0.7887042521297879,12,31,10,25,5,3,7,8,3,9,1
0,0.7373405453278223,1,7,11,25,1,1,14,7,4,9,1
0,0.20874906832512113,1,9,9,40,1,1,14,7,1,9,1
0,0.22262346344736791,1,21,5,35,1,1,1,1,12,9,30
1,0.11857305192190848,1,19,11,30,1,1,14,7,3,9,1
1,0.6860916588623813,1,7,10,20,1,1,14,7,6,9,1
1,1.0160209940869547,12,24,15,10,2,3,1,2,14,9,30
0,0.7385450581065847,11,2,12,55,1,1,14,7,3,9,1
1,0.7936177123480586,1,6,16,57,5,4,7,7,2,9,1
1,0.5017481561048852,11,6,7,47,1,1,12,7,3,6,1
1,0.5531526326571777,1,1,11,33,1,1,14,7,5,9,1
1,0.6762101239041689,12,31,14,22,1,1,0,7,0,0,20
0,0.29665889496363035,1,3,20,55,3,2,1,2,15,9,30
1,0.966626024023831,1,4,17,48,2,3,7,7,3,8,1
1,-0.1823585419752201,1,17,17,55,2,1,1,7,11,9,30
0,0.46141845319610997,1,9,13,17,1,1,1,7,14,9,30
0,0.42463432400466816,1,20,16,5,1,1,1,7,15,7,30
0,0.37244154075564584,1,14,11,54,1,1,0,7,0,0,20
1,0.9908814496619667,1,7,9,45,1,3,7,1,1,9,1
0,0.14845465677600472,1,11,18,30,2,2,1,1,15,9,30
0,0.7636135505569671,12,31,13,45,5,4,1,7,14,9,30
1,0.3926426808623882,1,23,12,0,2,1,1,7,11,9,30
0,0.499632305314317,1,20,13,24,1,1,1,7,15,9,30
0,0.6075636574226948,1,10,12,0,2,1,1,4,11,9,30
1,0.9252455308239267,1,5,15,30,2,3,7,7,3,9,1
0,0.7659220655439121,1,22,10,55,1,1,14,7,4,9,1
0,0.5640877353110559,1,15,15,42,1,1,14,7,2,9,1
1,0.18104862814826445,12,8,7,55,3,2,14,7,4,9,1
1,0.33859136596618533,1,3,18,0,1,2,14,7,3,9,1
0,0.06802533420371762,1,14,18,30,1,1,1,7,12,9,30
0,0.5910749438787061,1,7,16,45,1,1,14,7,2,9,1
1,0.29924602322038496,1,21,8,45,1,1,1,1,15,9,30
0,0.3920091592881441,1,13,7,35,1,1,1,1,19,9,30
1,0.18656597644470976,1,4,9,30,1,1,1,7,14,9,30
1,0.725417826919917,1,7,11,18,1,2,14,7,4,9,1
0,0.5147099381824738,1,14,5,23,1,1,1,7,12,9,30
1,0.5467354118764485,1,8,19,2,1,1,1,7,14,9,30
0,0.29975191003991647,1,8,19,40,1,1,14,7,3,9,1
0,0.49590824456335925,1,4,17,45,1,1,14,7,3,9,1
1,-0.278022462662059,1,12,18,40,1,1,1,1,15,9,30
1,0.40843514979884865,1,9,12,45,1,1,1,7,15,9,30
1,0.39007744988111875,1,17,15,25,1,1,7,2,3,9,1
0,0.33377104312790623,12,13,8,58,1,1,1,7,15,9,30
1,-0.22598658120043988,1,6,18,40,1,1,1,7,12,9,30
1,0.742305498611082,1,4,19,13,5,3,14,7,3,9,1
1,0.04605295200843833,1,31,18,25,1,1,1,1,15,9,30
1,0.3557200293145451,1,21,7,25,1,1,14,7,6,9,1
1,0.6877910815313486,12,27,16,50,1,1,14,7,3,9,20
1,0.19999513941766575,1,27,11,4,1,1,14,7,3,9,1
1,0.5339722601702381,1,1,11,35,1,1,1,2,12,9,30
0,0.49170315851352997,1,7,8,45,1,3,14,7,3,8,1
1,0.06436624123479343,12,17,18,40,3,2,1,7,11,9,30
1,0.6204659734254806,1,27,9,0,2,3,14,7,3,9,1
1,0.9052490895214221,1,9,15,0,1,1,1,7,12,9,30
0,0.9580633072081058,11,5,12,22,1,1,1,1,12,9,30
0,0.7600644453775917,11,3,19,20,1,1,14,7,3,9,1
0,0.33967540572031935,1,10,17,55,2,1,0,7,0,0,20
1,0.47297147694367175,1,17,13,50,1,1,14,1,5,9,1
1,0.3142384456968707,11,28,17,0,1,1,7,7,2,6,20
0,0.8476596780541337,1,13,12,10,1,1,7,1,3,6,1
1,0.6675687536349144,1,10,17,20,2,1,14,7,4,9,1
1,0.8628756371263631,12,1,23,30,2,1,14,7,2,9,1
1,0.15303799151787625,12,27,22,58,1,1,1,7,15,9,30
0,0.4833775443141952,1,17,9,45,1,1,1,7,11,9,30
1,0.975083696803853,1,4,16,17,5,3,1,1,15,9,30
0,0.8848555455903194,1,9,16,15,1,1,14,7,4,9,1
1,0.7130306947282719,1,11,9,25,2,2,1,7,12,9,30
0,0.3347488991334852,1,7,9,44,1,1,14,7,3,8,1
0,0.3952346288456688,1,15,20,45,1,1,13,7,4,3,1
1,0.8557119007551968,1,6,18,34,2,3,7,1,5,9,1
1,0.5905269605442937,1,17,18,15,1,1,7,1,3,9,1
1,0.8198255489977745,1,16,9,34,1,3,1,7,16,9,30
1,0.8704020597061476,1,21,8,10,2,3,7,1,3,8,1
0,0.319797481082996,1,18,17,28,1,1,14,7,3,8,1
1,0.17520451472924495,12,23,20,55,1,1,1,7,15,9,30
0,0.6785234964008063,12,30,20,20,1,1,1,1,19,9,30
0,0.4908108968356919,1,6,13,38,5,2,14,7,5,8,1
0,0.5466529931996653,1,25,7,35,2,1,0,7,0,0,20
1,0.4134226910258828,1,9,9,0,1,1,14,7,3,9,1
0,0.3355001034360938,1,5,13,15,1,1,1,1,15,9,30
0,0.14834989985540736,1,25,17,40,2,1,1,1,12,9,30
1,0.2815954452755028,1,4,16,57,2,2,0,7,0,0,20
0,0.5444186387846849,1,28,15,40,1,5,0,7,0,0,20
0,0.03835337756465599,1,31,17,4,1,1,14,7,2,9,1
0,0.8094081250281436,1,10,20,17,2,1,0,7,0,0,20
1,0.8226227719330754,12,17,16,19,1,1,1,7,11,9,30
1,0.7916447437500777,12,30,16,32,5,4,14,7,3,9,1
1,0.9986664220139736,12,29,22,23,1,1,14,7,5,9,1
1,0.4683768382942173,12,24,7,42,1,1,1,1,15,9,30
0,0.42460326002442333,11,18,19,10,2,1,1,1,19,9,30
0,0.4093316185269839,1,14,7,10,1,1,14,7,3,9,1
1,0.7099600119506688,1,7,19,1,1,1,7,1,4,9,1
1,0.6930792709263881,1,10,12,53,2,1,14,7,4,9,1
1,0.4677074727251353,1,23,12,18,2,1,1,7,12,9,30
1,0.26375309088955834,1,21,17,35,1,1,14,7,3,9,1
1,0.6282160268747621,1,4,17,55,1,1,14,7,5,8,20
1,0.735882590808643,1,30,18,35,1,1,14,7,5,9,1
0,0.3185542546131511,1,6,16,6,5,2,14,7,3,9,1
0,0.44454147334917665,1,13,8,16,1,1,1,1,15,8,30
0,0.550302501954107,1,9,10,0,1,1,1,7,15,9,30
1,0.7803853780236698,12,27,12,37,1,1,14,7,3,9,1
1,0.24808267832977168,1,20,7,35,1,1,14,7,4,9,1
1,0.8358843758872129,12,25,16,55,1,1,7,7,5,9,1
0,0.39989266920749544,1,1,7,3,1,1,1,1,15,9,30
0,0.7309831511244015,1,7,5,5,1,3,12,7,2,7,20
1,0.006970702447174195,1,12,15,55,1,1,1,1,15,9,30
0,0.5799219013400861,12,26,5,15,1,1,1,1,15,9,30
0,0.6424629971287014,12,4,15,38,1,1,14,7,3,9,1
0,0.5152980894288224,1,6,20,40,1,4,14,7,2,9,1
1,0.19441335557549777,1,4,15,51,1,1,1,1,15,9,30
0,0.6212409516638822,1,9,17,5,1,1,14,7,3,7,1
1,0.3971197201899679,1,7,14,56,1,1,1,7,12,9,30
1,0.4361750369507488,1,20,8,15,1,1,14,7,3,9,1
0,0.7360863799735178,12,25,13,18,1,1,14,7,3,9,1
0,0.1888868005598869,1,4,20,5,1,1,1,7,15,9,30
0,0.29840158145701223,12,12,5,23,1,1,1,7,16,9,30
0,0.45073050742533616,1,20,15,5,1,1,1,1,14,9,30
1,0.8750296729290533,1,7,10,20,1,3,14,7,5,9,1
0,0.42539562500446243,1,6,14,25,1,1,1,7,15,9,30
0,0.7203828995821075,1,10,14,53,1,1,7,1,3,9,1
0,0.526190328147966,12,19,17,10,3,2,1,1,15,3,30
0,0.6247413355651974,1,22,11,13,1,1,14,7,2,9,1
0,0.930240091487966,12,24,18,18,1,1,7,1,5,9,1
0,0.013671224361581951,1,22,9,5,1,1,1,7,14,9,30
0,0.3614545821866521,1,4,13,34,1,1,0,7,0,0,20
1,0.6635468885734352,1,30,4,6,1,1,13,7,5,3,1
1,0.7714292953638365,1,6,17,30,5,4,14,7,4,8,1
0,0.7363666170629986,1,2,16,0,1,1,1,7,13,9,30
0,0.16753147782385303,1,12,7,35,1,1,1,7,12,9,30
0,0.1744447730727321,1,29,18,33,1,1,1,7,14,9,30
1,0.7270004810573116,1,18,9,0,1,1,7,1,4,9,1
0,0.19348429760406546,1,27,17,20,2,1,1,7,15,9,30
1,0.2788995363417112,1,18,12,20,1,1,1,7,12,9,30
1,0.792796745739359,1,9,18,15,1,1,12,7,3,9,1
0,0.9153108715053895,12,18,16,5,2,4,13,7,3,3,1
1,0.8111155153323446,12,19,10,41,1,1,14,7,4,9,1
0,0.6967431085828547,1,3,18,20,1,1,7,7,2,9,1
1,0.5662787210211904,1,2,13,20,1,2,0,7,0,0,20
1,0.4333071219739931,1,21,16,10,1,1,1,7,12,9,30
0,-0.014771657344245197,1,12,8,10,1,1,14,7,3,8,1
0,0.20328382232278358,1,6,7,0,1,1,1,1,15,9,30
0,0.2227527847824303,1,9,7,49,1,1,1,1,15,9,30
0,0.20437108261284606,1,21,21,40,1,1,1,7,14,9,30
1,0.9325881357053696,1,18,19,18,2,3,7,2,5,2,1
0,0.44429933947641664,1,26,8,45,2,1,14,7,3,9,20
1,0.7808554123777074,12,30,22,20,3,2,14,1,3,9,1
1,0.28019046088473265,1,27,16,45,1,1,1,7,11,9,30
0,-0.06425305610112032,1,27,20,45,1,1,1,1,15,9,30
0,0.45814536650639054,11,24,15,30,1,1,7,7,2,9,1
0,0.472371190910185,1,22,18,5,2,1,1,7,15,9,30
0,0.5181898121468439,1,5,14,10,1,1,14,7,3,9,1
0,0.2927596752537001,1,28,12,13,1,1,14,7,5,9,20
1,0.6158132934530134,1,2,15,0,1,1,14,7,3,9,1
1,0.1406964778458945,12,17,18,57,3,2,7,7,4,9,1
1,0.23865097624101303,1,12,15,40,1,1,14,7,3,9,1
0,0.3902678294317792,1,15,19,10,1,1,14,7,1,9,1
1,0.5269087754800713,1,19,17,46,1,1,14,7,3,9,1
0,0.6769353339617231,1,3,10,5,1,1,1,1,15,9,30
0,0.4804047655430505,1,2,9,15,1,1,1,1,15,9,30
1,0.6308723381802654,1,10,12,35,1,1,14,7,4,9,1
0,0.3162481676256401,1,17,14,16,1,1,1,2,14,9,30
0,0.25445048847679486,1,21,7,28,1,1,14,7,2,7,1
0,0.5769150364667054,1,6,9,15,2,1,13,7,2,3,1
1,0.96936184135042,1,5,16,49,2,3,12,7,4,9,1
0,0.23276181193858375,1,23,13,25,2,1,1,7,14,9,30
0,0.3526316974340193,1,28,7,0,5,3,1,1,14,9,30
0,0.720804972315107,1,14,16,52,5,4,13,7,5,1,1
0,0.695090404728064,12,27,21,0,1,1,14,7,3,9,20
0,0.6038497586130946,1,9,11,0,1,1,1,7,15,9,30
0,0.6895064073380515,1,26,8,47,1,2,14,7,3,9,1
0,0.14840771830655705,1,18,8,50,1,1,14,7,3,9,1
0,0.6289005780110648,1,15,11,5,1,1,13,7,4,2,1
1,1.0149317071260429,1,3,14,22,2,3,14,7,2,9,1
1,0.5415931460502916,12,21,7,35,1,1,1,7,12,9,30
0,0.27120501628071536,1,20,6,40,1,1,1,7,12,9,30
1,0.28829723328719103,1,20,17,57,5,4,7,7,3,9,1
1,0.8803819469188713,1,1,14,27,1,1,14,7,3,9,1
0,0.03341227472712222,1,11,6,40,3,2,1,7,14,9,30
0,0.29769984585305687,1,26,5,43,2,2,1,1,14,9,30
1,0.6058257456048411,12,29,13,55,2,2,1,7,11,6,30
0,0.3439808885649668,1,31,21,30,1,1,14,7,3,9,1
1,0.15366785616022385,1,7,7,43,1,1,14,7,3,9,20
1,0.6958877364536785,1,3,22,33,1,1,1,7,15,9,30
1,0.8824726901629899,12,28,8,29,2,3,7,1,4,9,1
1,0.7811167618433037,12,19,13,35,1,1,14,7,4,9,1
1,0.6672541044306016,12,25,18,50,1,1,12,7,3,9,1
1,0.6883325075231063,11,6,16,47,1,1,14,7,3,9,1
0,0.5437486009978834,1,4,17,12,5,2,7,1,6,9,1
1,0.7161219259933872,12,27,17,3,5,4,7,7,3,8,1
1,0.17422917232641183,1,26,19,43,1,1,1,7,11,9,30
0,0.5352274899880644,12,7,16,53,3,2,14,7,4,9,1
1,0.9143617162375836,1,5,8,47,1,3,7,1,3,9,1
0,0.11895767365310962,12,27,5,55,1,1,1,8,16,9,30
0,0.16386020749421856,1,14,16,29,1,1,1,7,11,9,30
1,0.9585907015385177,1,10,18,27,1,1,7,1,5,9,1
0,0.21794420769298956,1,18,15,25,1,1,14,7,3,9,1
1,0.29750843198554405,1,29,16,42,1,1,1,1,13,9,30
1,0.8753603627887885,12,23,22,8,2,1,14,7,6,9,1
0,0.15192626310088914,1,14,18,45,1,1,1,7,15,9,30
0,0.06527523021760435,1,12,7,34,1,2,1,1,15,9,30
0,0.554454358095773,1,4,18,9,2,3,7,7,4,9,1
1,0.5407382857767051,12,23,9,42,1,1,1,7,15,9,30
0,0.6439045246814706,1,4,14,25,1,1,1,1,19,9,30
1,0.6342996358515103,1,3,16,6,1,1,14,7,1,9,1
1,0.8495699681443365,12,24,23,21,1,1,7,1,3,9,1
1,0.48873490539804587,1,25,8,15,1,1,0,7,0,0,20
1,0.33102044158762234,12,26,12,55,1,1,0,7,0,0,20
0,0.5691102283953107,1,17,19,30,5,4,14,7,5,9,1
1,0.4104013623668209,1,19,8,0,1,1,1,7,12,9,30
1,0.8275422537624302,1,30,12,10,2,1,7,1,5,9,1
0,0.5521124002852408,1,7,13,30,1,1,7,7,3,2,1
0,0.29476431997194846,1,23,17,9,2,1,14,7,3,8,20
0,0.6022477500295985,1,7,8,45,1,1,0,7,0,0,20
1,0.7156922246937852,10,31,21,13,1,1,14,7,5,9,1
0,0.6053561901219839,1,10,11,21,2,1,1,7,11,1,30
1,0.8922012303339566,1,6,9,10,1,3,7,1,5,8,1
0,0.4132794247114198,1,12,15,45,1,1,12,7,3,9,1
0,0.6533150328747267,1,9,12,0,1,1,1,1,17,9,30
1,1.1469610419777023,1,1,15,25,1,3,7,1,6,9,1
1,0.24276926813356028,1,25,15,30,2,1,1,1,16,9,30
0,0.3038991185052191,1,16,15,52,1,1,7,7,1,9,1
1,0.696920338059329,12,28,13,8,5,3,12,7,3,8,1
0,0.5804929176858368,1,19,10,22,2,1,14,7,3,9,1
1,0.41454532870468713,1,14,7,40,1,1,13,7,3,5,1
0,0.5197392645284973,1,14,16,23,1,1,14,7,3,9,1
1,0.5693521169444736,1,20,7,49,1,1,7,1,3,9,1
0,0.5608747398686985,1,17,17,50,1,1,7,7,2,9,1
1,0.78454186713556,12,28,17,35,1,1,1,1,15,9,30
1,0.48352209780540356,12,23,18,29,1,1,14,7,3,9,1
0,0.41593854394095325,1,27,6,40,1,1,14,7,3,9,1
0,0.055508732637319994,1,25,17,45,2,1,1,1,15,9,30
1,0.5218763089889588,1,8,15,50,1,1,14,7,3,9,1
0,0.4250456960954124,1,6,15,17,1,1,1,7,15,9,30
1,0.6003804730988792,1,17,16,3,1,1,13,7,4,6,1
0,0.14461701119285011,1,23,20,30,2,1,1,7,14,9,30
0,0.3573514545511247,12,30,18,2,1,1,1,7,11,8,30
0,0.5873332442989969,1,13,8,45,1,1,14,7,3,9,1
0,0.9968920610178367,1,6,14,30,5,4,14,7,3,8,1
0,0.33049370048277815,1,5,19,5,1,1,1,1,15,9,30
1,0.94430535996169,1,2,11,23,1,1,7,1,3,9,1
1,0.6224536575936833,1,29,3,34,1,1,14,7,4,7,1
1,0.7842188188945235,1,14,12,24,1,1,7,1,3,9,1
1,0.6158907669910312,12,30,3,12,1,1,1,7,15,9,30
0,0.47060631172840994,1,25,13,4,2,1,14,7,3,9,1
1,0.6141051760444874,1,8,16,34,1,1,14,7,3,9,1
0,0.5649550571872265,1,18,14,55,5,4,13,7,4,5,1
1,0.9759718093436934,12,31,12,30,2,1,1,2,12,9,30
0,0.5133489709460795,1,12,7,35,5,4,1,7,11,9,30
0,0.5825483299231008,12,11,8,20,1,1,1,2,14,9,30
1,0.670611889127175,1,16,2,22,1,1,7,1,5,7,1
1,0.6414479299472775,1,1,14,50,1,1,14,7,4,7,1
1,0.8207269173915794,12,29,20,38,1,1,14,7,5,9,1
1,0.7365018177004911,1,8,15,36,1,1,1,1,12,9,30
0,0.8989205819412316,12,10,8,23,1,1,14,7,3,9,20
0,0.45643736938756185,1,16,9,18,1,1,1,1,18,9,30
1,0.6589151274205128,12,31,18,5,1,1,14,7,4,9,1
0,0.28057590060179805,1,29,10,29,1,1,1,1,19,9,30
0,0.2825466282427952,1,12,8,50,1,1,14,7,2,9,1
1,0.43999570938024446,1,18,8,40,1,1,14,7,1,9,1
0,0.4084376862981723,12,20,14,20,1,1,14,7,2,9,1
0,0.9577742410974859,1,6,14,30,5,4,14,7,2,7,1
0,0.6672585535704404,12,26,22,30,1,1,14,7,3,9,1
0,0.5082085768540868,1,18,13,16,1,1,1,7,14,4,30
1,0.6707710023121018,1,5,13,35,1,1,7,1,5,9,1
0,0.5727617287239686,1,13,17,10,1,1,1,1,15,9,30
1,0.35102244316870324,12,21,17,58,3,2,14,7,5,9,1
1,0.8463523219947198,1,5,16,1,2,3,13,7,3,6,1
1,0.7030293425677423,12,30,12,5,1,2,1,1,15,9,30
0,0.31227753118799484,1,15,18,24,2,2,1,7,17,9,30
1,1.1647694211040083,12,31,9,41,1,1,1,7,11,9,30
0,0.6011170157589101,1,6,17,9,1,3,14,7,2,9,1
1,0.4716339341361216,1,31,10,0,1,1,14,7,4,9,1
1,0.18490776265408598,1,18,11,25,1,1,14,7,3,9,1
1,0.7167336333272484,1,20,15,40,2,3,14,7,3,9,20
0,0.04070313618965465,1,12,5,8,1,1,1,1,15,9,30
0,0.27443764796237025,1,15,12,45,1,1,1,1,12,9,30
1,0.8441617564754578,1,15,23,25,2,1,7,1,5,9,1
0,0.8177561938531944,1,10,7,20,1,1,14,7,3,9,1
1,0.0804858772057653,1,21,18,40,1,1,1,2,14,9,30
0,0.6018265636747472,1,22,14,45,1,1,0,7,0,0,20
0,0.2374822325430295,1,5,10,15,1,1,1,1,15,9,30
1,0.2591540474626342,1,27,15,20,1,1,1,7,11,9,30
1,0.765155677525921,1,6,22,18,1,3,14,7,2,7,1
1,0.5507227455712643,12,23,15,10,1,1,14,7,3,9,1
1,0.6560008934612064,12,31,12,20,5,4,14,7,3,9,1
0,0.5375271399067024,1,19,15,0,1,1,14,7,2,9,1
1,0.47283755275915856,1,7,8,27,1,1,1,7,11,9,30
0,0.6150648612437013,1,6,22,10,2,3,7,1,5,8,1
0,0.15449113324911481,1,5,19,53,1,1,1,1,15,9,30
0,0.3922369633327418,1,13,14,27,5,2,1,7,15,9,30
1,0.46076166098586635,12,25,21,40,2,1,1,1,16,9,30
1,0.21239473998438993,1,23,14,10,2,1,1,7,11,9,30
1,0.1460163170797132,1,15,13,20,1,1,1,7,11,9,30
1,0.7170712129417455,1,7,10,36,1,3,14,7,3,8,1
0,0.4062130644238994,1,10,3,0,1,1,1,1,12,9,30
1,0.783385916975764,1,11,14,27,3,2,14,7,4,9,1
0,0.2117059203793207,1,7,7,50,1,3,14,7,3,9,20
1,0.5566514799759312,1,3,13,55,1,1,12,7,3,9,1
0,0.39423093771731005,1,21,18,55,1,1,14,7,3,9,1
0,0.783981041674252,12,21,14,40,1,1,1,7,15,9,30
1,0.031031127818979293,1,12,19,3,5,2,7,1,3,9,1
1,0.6477586241565084,1,10,16,35,2,1,14,7,3,9,1
1,1.0066108066842676,1,4,10,45,5,3,1,3,15,8,30
1,0.9303166867249124,1,6,16,55,5,4,14,7,3,8,1
1,0.7353921536908421,1,4,8,22,1,1,7,1,5,9,1
1,0.8089692648484172,1,6,16,31,5,4,13,7,3,3,1
0,0.6853537582678826,12,30,21,15,1,1,14,7,3,9,1
0,0.25853188972890834,1,7,5,45,1,3,14,7,2,9,1
0,0.5420887652775304,1,26,8,35,2,1,14,7,3,9,1
0,0.2932667645510612,1,29,10,45,2,1,1,7,15,9,30
1,0.895159543711205,12,17,8,17,2,3,1,7,14,9,30
1,0.5006783248873479,1,18,9,40,1,1,14,2,3,9,1
0,0.45725599500095493,1,20,14,38,1,1,1,1,16,9,30
0,0.3543684496070055,1,10,8,57,2,1,1,1,15,9,30
1,0.28541728020558677,1,15,18,10,1,1,1,1,16,9,30
1,0.9214724235322026,1,16,9,35,2,3,7,7,3,9,1
1,0.4071052606179549,1,14,6,55,1,1,1,7,12,9,30
1,0.8118270051149026,1,9,20,30,1,1,14,7,4,9,1
1,0.3989799296764762,1,15,9,43,1,1,1,7,11,9,30
1,0.757030937873744,12,22,18,30,2,4,7,1,4,9,1
1,0.25054741319259116,1,19,9,41,1,1,14,7,1,9,20
0,0.2619720169830518,1,17,18,21,1,1,1,1,15,8,30
1,0.9478852568254659,1,15,9,30,1,3,14,7,2,9,1
0,0.11017712876775387,1,7,17,50,1,1,1,7,11,9,30
0,0.7299868577258877,1,23,13,20,1,1,1,1,15,4,30
1,0.5349183552237624,1,7,9,5,1,3,14,7,3,8,1
1,0.2528369623428536,1,11,13,35,2,2,13,7,3,3,1
0,0.3377252984761604,1,25,20,20,3,2,1,7,15,9,30
1,0.5330196887558577,1,18,12,24,5,2,14,7,2,9,1
0,0.3921590832273847,1,11,7,30,2,2,14,7,3,9,1
0,0.43285277380402754,1,14,8,15,1,1,7,7,2,9,1
1,0.5636028498704464,1,20,14,7,1,1,14,7,3,9,1
0,0.8463057825184046,12,31,16,0,1,1,1,1,15,9,30
1,0.9455412452194717,1,3,10,3,2,4,1,1,17,9,30
0,0.7445228365403783,1,7,1,26,2,3,14,7,5,7,1
0,0.7992816513735062,1,19,13,15,1,1,14,7,4,9,1
1,0.021493588288917655,1,18,19,27,1,1,1,7,11,9,30
0,0.2655493309716174,1,5,12,5,1,1,14,7,4,9,20
1,0.655590349443913,1,1,10,30,1,1,14,7,3,8,1
1,0.6972148897978063,1,31,5,56,1,1,14,7,5,9,1
0,0.27722512821153306,1,12,7,40,1,1,14,7,2,9,1
0,0.372117250316638,1,17,15,47,1,1,14,7,2,9,1
0,0.16177121977882636,1,19,17,28,2,1,1,7,13,9,30
0,0.2880011525234727,12,22,9,0,1,1,1,7,15,9,30
0,0.011201571025092399,1,28,18,27,1,1,1,8,18,6,30
1,1.1095015037496299,1,4,16,15,5,3,7,1,3,9,1
1,0.400149283218256,1,4,15,5,1,1,14,7,3,9,1
0,0.38347219278373,12,6,18,48,2,1,14,7,3,9,1
1,0.5025228956958131,1,27,3,35,1,1,7,7,3,9,1
1,0.6191096892981219,1,27,20,55,1,1,14,7,5,9,1
0,0.462479838442747,10,30,18,32,1,1,1,1,19,9,30
1,0.8385408918949702,1,18,15,13,5,3,14,7,3,9,1
1,0.6373863364023203,1,7,12,30,1,1,1,1,18,9,30
0,0.24680432046262055,1,10,8,30,2,1,1,8,14,6,30
0,0.2628326976235212,12,7,6,52,2,1,1,7,12,9,30
1,0.4265819527806653,1,14,7,29,1,1,14,7,4,9,1
1,0.7373871223387777,12,24,17,13,1,1,14,7,4,9,1
0,0.379700886338325,1,14,6,27,1,1,1,7,13,9,30
0,0.4341362474360236,1,20,10,23,1,1,1,1,19,9,30
1,0.5066545177397471,1,23,13,35,2,1,14,7,3,9,1
0,0.5176103958331467,1,5,0,59,5,3,14,1,4,9,1
0,0.42669097281719853,1,4,9,55,1,1,1,7,12,9,30
1,0.965448767363437,12,25,16,48,5,4,7,7,5,9,1
0,0.6675130201249901,1,7,10,45,1,1,0,7,0,0,20
0,0.3609545088538882,1,27,7,55,1,1,1,7,12,9,30
0,0.48009102874178883,1,30,21,17,1,1,14,7,4,9,20
0,0.3924646592930959,1,3,5,50,1,1,7,1,5,9,1
0,0.17457815450324188,1,28,19,20,1,1,1,7,15,9,30
0,0.7974902437250332,1,6,16,35,5,4,1,7,16,1,30
1,0.6188802199507453,12,29,18,10,2,3,14,7,4,9,1
1,0.7179399718750201,1,1,16,0,1,1,14,7,5,9,1
1,0.60986571368827,12,25,14,55,1,1,1,1,15,9,30
0,0.29769857334474853,1,20,7,2,1,1,1,1,11,7,30
0,0.9692366906891164,1,23,18,17,2,1,14,7,4,9,1
0,0.7630338082542522,12,22,17,5,1,1,14,7,3,9,1
0,0.12358711056195443,1,17,10,40,2,1,1,8,16,7,30
1,0.5078279835076206,1,3,16,45,5,2,0,7,0,0,20
0,0.15300201077341946,1,22,8,10,1,1,1,7,12,9,30
0,0.4385981203415444,1,4,10,26,1,1,14,7,2,9,20
0,0.3307727460843227,1,28,8,45,1,1,1,1,15,9,30
1,0.547556668372916,1,2,10,50,1,1,14,7,3,8,1
1,0.9689853538497779,1,20,20,45,2,3,14,7,3,7,1
1,0.034878303845869964,1,18,7,6,1,1,1,7,15,9,30
0,0.9024537252556741,12,24,16,50,2,2,14,7,5,9,1
0,0.9152355451921245,1,12,13,16,5,4,14,7,5,9,1
0,0.8391468256172867,12,30,10,6,3,2,0,7,0,0,20
0,0.2966907765853976,1,21,8,18,1,1,1,7,12,9,30
0,0.12610376595964687,1,29,14,55,1,1,1,7,11,9,30
1,0.9119942443774974,1,2,14,24,1,1,14,7,3,9,1
1,0.7192038448600171,1,15,11,40,1,1,7,2,3,9,1
0,0.3472209082979247,1,28,8,28,2,1,0,7,0,0,20
